repository,repository_url,tool,rule_id,severity,annotation,annotation_value,annotation_explicit,effective_value,evidence,linter_message,classification,reason,behavior_evidence
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_add_message,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,reactions_add,MCP005,INFO,readOnlyHint,omitted,false,false,"annotations omit ""readOnlyHint""; effective value is false",Annotation coverage: 'readOnlyHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"readOnlyHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,reactions_add,MCP005,INFO,idempotentHint,omitted,false,false,"annotations omit ""idempotentHint""; effective value is false",Annotation coverage: 'idempotentHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"idempotentHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,reactions_add,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,reactions_remove,MCP005,INFO,readOnlyHint,omitted,false,false,"annotations omit ""readOnlyHint""; effective value is false",Annotation coverage: 'readOnlyHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"readOnlyHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,reactions_remove,MCP005,INFO,idempotentHint,omitted,false,false,"annotations omit ""idempotentHint""; effective value is false",Annotation coverage: 'idempotentHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"idempotentHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,reactions_remove,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,attachment_get_data,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_search_messages,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,users_search,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_unreads,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_mark,MCP005,INFO,readOnlyHint,omitted,false,false,"annotations omit ""readOnlyHint""; effective value is false",Annotation coverage: 'readOnlyHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"readOnlyHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_mark,MCP005,INFO,idempotentHint,omitted,false,false,"annotations omit ""idempotentHint""; effective value is false",Annotation coverage: 'idempotentHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"idempotentHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_mark,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_leave,MCP005,INFO,readOnlyHint,omitted,false,false,"annotations omit ""readOnlyHint""; effective value is false",Annotation coverage: 'readOnlyHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"readOnlyHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_leave,MCP005,INFO,idempotentHint,omitted,false,false,"annotations omit ""idempotentHint""; effective value is false",Annotation coverage: 'idempotentHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"idempotentHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_leave,MCP005,INFO,openWorldHint,omitted,false,true,"annotations omit ""openWorldHint""; effective value is true",Annotation coverage: 'openWorldHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"openWorldHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_join,MCP005,INFO,readOnlyHint,omitted,false,false,"annotations omit ""readOnlyHint""; effective value is false",Annotation coverage: 'readOnlyHint' was not explicitly specified; its effective MCP default is false.,COVERAGE_INFO,"readOnlyHint is omitted; its effective MCP default is false. This is coverage information, not a vulnerability classification.",
korotovsky/slack-mcp-server,https://github.com/korotovsky/slack-mcp-server,conversations_join,MCP005,INFO,destructiveHint,omitted,false,true,"annotations omit ""destructiveHint""; effective value is true",Annotation coverage: 'destructiveHint' was not explicitly specified; its effective MCP default is true.,COVERAGE_INFO,"destructiveHint is omitted; its effective MCP default is true. This is coverage information, not a vulnerability classification.",
